indice_tiempo,superficie_sembrada_soja_ha,superficie_cosechada_soja_ha,produccion_soja_t,rendimiento_soja_kgxha
1941,1315,1110,1241,1099.27
1942,5568,4237,3223,758.16
1943,957,880,1173,1496.56
1944,645,481,473,1244.73
1945,400,227,268,1627.14
1946,1650,460,572,1250.0
1947,1175,410,477,1166.67
1948,992,370,362,971.43
1949,765,552,442,804.71
1950,950,852,674,726.38
1951,905,715,666,912.5
1952,1737,1565,961,670.25
1953,1114,634,632,944.44
1954,966,483,483,1000.0
1955,1030,515,515,1000.0
1956,2640,1454,1430,956.25
1957,1047,589,584,988.24
1958,939,844,805,963.86
1959,952,858,831,978.21
1960,1014,980,957,978.21
1961,10260,9647,11220,1025.67
1962,21110,19302,18920,878.96
1963,13700,12220,14000,931.38
1964,17560,16422,17000,967.44
1965,16575,15689,18001,1081.65
1966,18470,17290,20500,1063.85
1967,22800,20300,22000,887.89
1968,30800,28300,31800,1010.98
1969,30470,25970,26800,1028.02
1970,37700,36330,59000,1455.82
1971,79800,68000,78000,957.02
1972,169360,156950,271904,1254.7
1973,376600,344340,495880,1400.05
1974,369500,355940,485000,1272.13
1975,442500,433500,695000,1317.66
1976,710000,660000,1400000,1537.1
1977,1200000,1150000,2500000,1587.71
1978,1640000,1600000,3700000,1586.22
1979,2100000,2030000,3500000,1392.43
1980,1925000,1880000,3770000,1688.6
1981,2040000,1985600,4150000,1743.84
1982,2362000,2280700,4000000,1548.74
1983,2920000,2910000,7000000,1891.35
1984,3300000,3269000,6500000,1665.97
1985,3340000,3316000,7100000,1874.79
1986,3684000,3516650,6666400,1622.51
1987,4413000,4373200,9900000,1926.94
1988,4670000,3931250,6500000,1670.21
1989,5100000,4961600,10700000,1890.8
1990,4966200,4774100,10861200,1891.45
1991,5003000,4934810,11308100,2008.75
1992,5318410,5115085,11043400,1816.7
1993,5817490,5748910,11719900,1754.66
1994,6011240,5934160,12133000,1786.52
1995,6002155,5913415,12448200,1700.89
1996,6669500,6393780,11004890,1783.11
1997,7176250,6954120,18732172,2204.26
1998,8400000,8180000,20000000,2143.34
1999,8788181,8635184,20131510,2030.78
2000,10927330,10612893,27266252,2196.17
2001,11627961,11394403,29962194,2249.27
2002,12590244,12403394,34785121,2414.4
2003,14513106,14291714,31560148,2010.49
2004,14390630,14027875,38287103,2326.12
2005,15368083,15107896,40489266,2458.4
2006,16110038,15952040,47431082,2593.27
2007,16571885,16352459,46150651,2390.02
2008,17980895,16711510,30945404,1471.05
2009,18392752,18217927,53247361,2599.16
2010,18870651,18733631,48846100,2395.91
2011,18664148,17573258,40097644,2086.54
2012,19902072,19286625,49117029,2179.03
2013,19705342,19252952,53398720,2506.25
2014,19792100,19334915,61398276,2786.19
2015,20562233,19590871,59095247,2795.8
2016,18057162,17335666,54972546,2947.93
2017,17259260,16318060,37785927,2218.45
2018,17010277,16575887,55263891,3038.73
2019,16918869,16710793,48780412,2678.08
2020,16650093,16466714,46217911,2634.3
2021,16094383,15874266,43861066,2420.91
2022,15978775,14356924,25044982,1698.17
2023,16564537,16371093,48213216,2663.64
